title,year,genre,duration,description
The Phantom of the Opera,1925,horror,93,"A mad, disfigured composer seeks love with a lovely young opera singer."
The Three Musketeers,1921,adventure,120,"The young Gascon D'Artagnan arrives in Paris, his heart set on joining the king's Musketeers. He is taken under the wings of three of the most respected and feared Musketeers, Porthos, Aramis, and Athos. Together they fight to save France and the honor of a lady from the machinations of the powerful Cardinal Richelieu."
Night of the Living Dead,1968,horror,96,"A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a bloodthirsty, flesh-eating breed of monsters who are ravaging the East Coast of the United States."
